,CreditScore,Geography,Gender,Age,Balance,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,569.0,S0,Male,39.0,123896.22,6.0,1.0,0.0,0.0,107009.14,0
1,588.0,S1,Male,38.0,107098.63,3.0,1.0,1.0,1.0,61788.72,0
2,644.0,S2,Male,44.0,123529.17,3.0,1.0,1.0,1.0,58901.54,0
3,573.0,S0,Female,41.0,129851.47,3.0,1.0,0.0,1.0,132998.74,0
4,569.0,S0,Female,42.0,62397.41,7.0,2.0,1.0,1.0,57609.03,0
5,631.0,S0,Female,44.0,62397.41,3.0,2.0,1.0,0.0,111282.78,0
6,547.0,S0,Male,62.0,108694.4,5.0,1.0,1.0,1.0,118077.41,0
7,557.0,S2,Female,41.0,62397.41,5.0,2.0,1.0,0.0,91767.38,0
8,641.0,S1,Female,41.0,119891.5,3.0,1.0,1.0,1.0,80208.94,0
9,661.0,S0,Male,32.0,62397.41,4.0,2.0,1.0,0.0,74069.18,0
10,676.0,S1,Male,37.0,143315.99,3.0,2.0,0.0,1.0,85060.12,0
11,647.0,S1,Female,37.0,132600.1,3.0,2.0,0.0,1.0,64376.62,0
12,677.0,S0,Male,60.0,62397.41,5.0,2.0,0.0,1.0,73938.48,0
13,643.0,S0,Female,37.0,62397.41,5.0,2.0,1.0,1.0,64249.35,0
14,543.0,S1,Female,44.0,103692.5,5.0,2.0,1.0,0.0,137292.14,0
15,487.0,S1,Female,44.0,123810.85,7.0,2.0,1.0,0.0,99279.62,0
16,720.0,S0,Male,37.0,62397.41,6.0,2.0,1.0,1.0,68031.48,0
17,644.0,S0,Female,51.0,62397.41,3.0,1.0,1.0,0.0,62660.62,1
18,598.0,S0,Male,47.0,62397.41,5.0,2.0,0.0,0.0,128786.83,0
19,646.0,S0,Male,44.0,119297.04,5.0,2.0,1.0,0.0,72207.0,0
20,640.0,S0,Female,62.0,62397.41,5.0,2.0,1.0,1.0,99913.15,0
21,687.0,S2,Male,40.0,102298.58,5.0,1.0,1.0,1.0,139664.54,0
22,614.0,S2,Female,44.0,62397.41,5.0,1.0,1.0,1.0,68522.26,0
23,651.0,S2,Male,32.0,134563.25,6.0,1.0,1.0,1.0,67087.64,0
24,666.0,S2,Female,42.0,62397.41,6.0,3.0,1.0,0.0,87994.57,0
25,624.0,S2,Male,60.0,62397.41,4.0,1.0,1.0,1.0,100707.88,0
26,601.0,S0,Male,37.0,62397.41,4.0,2.0,0.0,1.0,61598.63,0
27,536.0,S0,Female,41.0,62397.41,5.0,2.0,0.0,0.0,103441.64,0
28,662.0,S0,Male,39.0,112685.69,4.0,1.0,1.0,0.0,104035.64,0
29,677.0,S1,Male,43.0,102915.35,5.0,2.0,0.0,0.0,134397.21,0
30,753.0,S0,Female,35.0,62397.41,6.0,2.0,1.0,1.0,127558.28,0
31,546.0,S0,Female,46.0,62397.41,6.0,2.0,1.0,0.0,122305.19,0
32,641.0,S0,Male,35.0,116247.42,4.0,1.0,1.0,0.0,139519.25,0
33,650.0,S2,Female,51.0,126750.78,7.0,1.0,1.0,1.0,100961.37,0
34,722.0,S0,Female,31.0,149944.6,6.0,2.0,0.0,1.0,139355.75,0
35,570.0,S1,Male,43.0,129197.41,3.0,1.0,0.0,1.0,120981.66,0
36,685.0,S0,Male,44.0,62397.41,5.0,2.0,0.0,0.0,118644.11,0
37,738.0,S0,Male,36.0,137222.61,4.0,2.0,0.0,1.0,87762.72,0
38,572.0,S2,Male,38.0,62397.41,4.0,2.0,1.0,1.0,80630.92,0
39,612.0,S2,Male,43.0,62397.41,6.0,2.0,1.0,0.0,72863.64,0
40,688.0,S0,Female,46.0,136698.96,7.0,1.0,0.0,1.0,67812.78,0
41,726.0,S1,Male,49.0,148814.38,3.0,1.0,1.0,1.0,85402.35,0
42,701.0,S0,Male,44.0,62397.41,3.0,2.0,0.0,1.0,138753.22,0
